owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country,recipient_state,recipient_county,recipient_city,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2020P08,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,195325.26,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2020-07-30
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2020P10,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2010741.17,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2020-08-27
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2020P10,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,1867950.00,,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2020-08-27
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2020P11,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2237681.87,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2020-09-28
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2020P12,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2472154.18,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2020-10-29
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P05,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,1597794.71,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-03-26
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P06,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,1887476.91,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-04-25
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P07,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2289341.06,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-05-26
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P08,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2594793.17,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-06-25
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P09,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2842187.96,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-07-27
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P10,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,2871627.93,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-08-27
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P11,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,3290315.19,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-09-22
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,4072149.73,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2022P02,,080,2020,2021,,0120,000,080-2020/2021-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,,613210.07,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-12-20
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2022P02,,080,2022,2023,,0120,000,080-2022/2023-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,2216797.00,,,,CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-,80GSFC20C0085,,,,2019-10-11,2020,2025-05-05,2025,2019-10-11,2024-09-30,,D,DEFINITIVE CONTRACT,,,WFIRST INSTRUMENT CARRIER FABRICTAION,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80GSFC,NASA GODDARD SPACE FLIGHT CENTER,PGQYE2EBDMT9,,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,PGQYE2EBDMT9,PGQYE2EBDMT9,ATK SPACE SYSTEMS LLC,ATK SPACE SYSTEMS LLC,USA,CA,SAN DIEGO,SAN DIEGO,CA-51,CA-51,921212340,UNITED STATES,CALIFORNIA,SAN DIEGO,CA-51,CA-51,921212340,,,1675,SPACE VEHICLE COMPONENTS,336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,,,https://www.usaspending.gov/award/CONT_AWD_80GSFC20C0085_8000_-NONE-_-NONE-/,2021-12-20
